Due Date,Pick Date,Scheduler,WOB#,Customer,Finish,Notes to  Warehouse,Lines,Total Quantity,SQM Unscheduled,SQM Released,SQM In Process,SQM Closed
21/7/2025,16/7/2025,N-ESKP,WOB05785,C02585 SHORESIDE GLASS & GLAZING,Q | 272-1139S White Satin,QLD - CUST - Cancelled on 14/07 by Matthew,2,51,0,0,0,58.01
21/7/2025,16/7/2025,N-ESKP,WOB05792,C00865 ADS GLASS & ALUMINIUM PTY LTD,NV | 90Z-7768S Zeus Grey Satin,*WARRANTY*,5,6,0,0,0,8.95
21/7/2025,16/7/2025,N-ESKP,WOB05795,C00597 BAYSIDE SECURITY DOORS,NV | GA330A Txtura White Texture,- None -,7,17,0,12.7,0,0
21/7/2025,16/7/2025,N-ESKP,WOB05800,C00257 VALUE GLASS PTY LTD,NV | 260-8252M Jasper Matt,- None -,4,5,0,0,0,15.28
21/7/2025,16/7/2025,N-ESKP,WOB05804,C00392 AFALCO CONSTRUCTION PTY LTD,NV | GY235A Anodic Natural Matt *,"cancelled on 14/07 by sales Darley, Order is as a quote only",29,48,0,0,0,103.31
21/7/2025,16/7/2025,N-ESKP,WOB05815,C00374 SAFEGUARD HOME IMPROVEMENTS PTY LTD,NV | 272-7257S Ironstone Satin *,- None -,5,48,0,0,0,42.96
21/7/2025,16/7/2025,N-ESKP,WOB05816,C00374 SAFEGUARD HOME IMPROVEMENTS PTY LTD,NV | 91T-8356S Eternity Bronze Pearl Kinetic Satin,*WARRANTY*,5,8,0,0,0,8.03
21/7/2025,16/7/2025,N-ESKP,WOB05819,C00382 BCM ALUMINIUM,NV | 272-7255S Woodland Grey Satin,- None -,22,27,0,0,0,43.13
21/7/2025,16/7/2025,N-ESKP,WOB05825,C03507 TWF FABRICATIONS,NV | 90Z-7770M Zeus Silver Grey Matt,*WARRANTY*,30,85,0,0,0,125.56
21/7/2025,16/7/2025,N-ESKP,WOB05842,C00454 ASAP GLASS & ALUMINIUM,NV | 272-7197M Woodland Grey Matt,- None -,26,44,0,0,0,86.76
21/7/2025,16/7/2025,N-ESKP,WOB05848,C00909 BASIX WINDOWS & DOORS PTY LTD,NV | 90Z-8189M Zeus Monument Matt,*WARRANTY*,10,21,0,0,0,38.77
21/7/2025,16/7/2025,N-ESKP,WOB05849,C03392 BRAX GROUP SYD PTY LTD T/AS WRS WINDOWS & DOORS,NV | 272-51014 Anotec Mid Bronze Matt,- None -,5,5,0,0,0,5.6
21/7/2025,16/7/2025,N-ESKP,WOB05850,- None -,NV | GA057A White Birch Gloss,STOCK,1,6,0,0,0,6.23
21/7/2025,16/7/2025,N-ESKP,WOB05851,C01923 GARDEN CITY GRILLES & DOORS,Q | GL329A Monument Textura,QLD - CUSTOMER,2,52,0,0,0,32.67
21/7/2025,16/7/2025,N-ESKP,WOB05870,C01217 ALUCITY ARCHITECTURAL PRODUCT SUPPLY P/L,NV | 272-19319 Black Matt,- None -,2,30,0,0,0,54.7
21/7/2025,16/7/2025,N-ESKP,WOB05872,C00333 WATTS GLASS PTY LTD,NV | 272-81880 Classic Pearl White Gloss,- None -,1,16,0,0,0,16.02
21/7/2025,16/7/2025,N-ESKP,WOB05873,- None -,NV | 272-19319 Black Matt,STOCK,1,3,0,0,0,4.97
21/7/2025,16/7/2025,N-ESKP,WOB05899,- None -,NV | 272-81880 Classic Pearl White Gloss,STOCK,1,10,0,0,0,31.61
21/7/2025,16/7/2025,N-ESKP,WOB05901,- None -,NV | 272-81880 Classic Pearl White Gloss,STOCK,2,40,0,0,0,88.21
21/7/2025,16/7/2025,W-HOPV,WOB05948,C01340 COMMERCIAL GLASS & ALUMINIUM WA PTY LTD,W | GA124A WHITE SATIN,EXPRESS!!!  **PACK IN BUNDLES**,5,8,0,0,0,12.49
21/7/2025,17/7/2025,N-ESKP,WOB05961,C01082 HMB ALUMINIUM AND GLASS,NV | 272-19319 Black Matt,PLZ PACK BY 21/07,1,1,0,0,0,1.32
